Time step,Mid price,Bid price,Ask price,Inventory,Cash,PnL
57.0,100.81754187429307,100.71754187429308,100.91754187429306,-3.0,305.1705557090489,2.7179300861697016
58.0,100.68422449632962,100.58422449632963,100.78422449632961,-3.0,305.3705557090489,3.317882220060085
59.0,100.4148469549787,100.3148469549787,100.5148469549787,-4.0,405.8854026640276,4.226014844112797
60.0,100.17667470919191,100.07667470919192,100.27667470919191,-4.0,405.8854026640276,5.1787038272599375
61.0,101.46715995575614,101.36715995575615,101.56715995575614,-5.0,507.45256261978375,0.11676284100303747
62.0,101.51656444522091,101.41656444522091,101.6165644452209,-4.0,406.03599817456285,-0.03025960632078295
63.0,100.82498230889698,100.72498230889698,100.92498230889697,-4.0,406.23599817456284,2.936068938974927
64.0,100.4113566771849,100.3113566771849,100.51135667718489,-4.0,406.23599817456284,4.5905714658232455
65.0,100.06639502024505,99.96639502024506,100.16639502024505,-5.0,506.40239319480787,6.070418093582589
66.0,100.15311888599241,100.05311888599242,100.25311888599241,-4.0,406.34927430881544,5.736798764845787
67.0,100.29319833654147,100.19319833654147,100.39319833654146,-4.0,406.34927430881544,5.176480962649578
68.0,100.60457794225525,100.50457794225525,100.70457794225524,-4.0,406.5492743088154,4.130962539794439
69.0,101.139925187469,101.03992518746901,101.239925187469,-4.0,406.5492743088154,1.9895735589394121
70.0,100.52655561428072,100.42655561428073,100.62655561428072,-4.0,406.5492743088154,4.44305185169253
71.0,99.68900076133906,99.58900076133907,99.78900076133905,-5.0,506.3382750701545,7.893271263459212
72.0,100.16730255833194,100.06730255833195,100.26730255833193,-4.0,406.27097251182255,5.601762278494789
73.0,100.30678499037566,100.20678499037567,100.40678499037566,-4.0,406.27097251182255,5.043832550319905
74.0,100.13921900811755,100.03921900811756,100.23921900811754,-4.0,406.27097251182255,5.714096479352349
75.0,100.40838936991923,100.30838936991924,100.50838936991923,-4.0,406.27097251182255,4.637415032145611
76.0,101.07519532613674,100.97519532613674,101.17519532613673,-3.0,305.2957771856858,2.0701912072755704
77.0,100.43066735475318,100.33066735475319,100.53066735475318,-3.0,305.49577718568577,4.20377512142619
78.0,100.38629161606616,100.28629161606617,100.48629161606615,-3.0,305.69577718568576,4.536902337487277
79.0,99.62402573585582,99.52402573585583,99.72402573585582,-3.0,305.69577718568576,6.82369997811827
80.0,100.47768386886702,100.37768386886702,100.57768386886701,-2.0,205.31809331681873,4.362725579084696
81.0,100.59932909899685,100.49932909899685,100.69932909899684,-1.0,104.81876421782188,4.219435118825032
82.0,100.779643583186,100.679643583186,100.879643583186,-1.0,105.01876421782187,4.239120634635867
83.0,100.9203256885871,100.8203256885871,101.02032568858709,-1.0,105.01876421782187,4.09843852923477
84.0,100.48703529709059,100.38703529709059,100.58703529709058,-2.0,205.60579951491246,4.631728920731291
85.0,100.64778662117283,100.54778662117283,100.74778662117282,-3.0,306.35358613608526,4.410226272566774
86.0,100.61898521318717,100.51898521318718,100.71898521318717,-4.0,407.07257134927244,4.596630496523744
87.0,99.96867008257522,99.86867008257522,100.06867008257521,-5.0,507.1412414318477,7.2978910189715975
88.0,99.95484355904104,99.85484355904104,100.05484355904103,-4.0,407.2863978728066,7.467023636642466
89.0,100.37107317887669,100.27107317887669,100.47107317887668,-3.0,307.0153246939299,5.9021051572999
90.0,100.26172883512274,100.16172883512274,100.36172883512273,-2.0,206.85359585880718,6.330138188561705
91.0,99.79781132634521,99.69781132634522,99.8978113263452,-2.0,206.85359585880718,7.257973206116759
92.0,99.74188078532708,99.64188078532709,99.84188078532708,-2.0,206.85359585880718,7.369834288153015
93.0,99.62269404985996,99.52269404985996,99.72269404985995,-1.0,107.33090180894722,7.708207759087259
94.0,99.69407227756528,99.59407227756529,99.79407227756528,-1.0,107.5309018089472,7.836829531381923
95.0,99.73010381361772,99.63010381361772,99.83010381361771,-1.0,107.5309018089472,7.800797995329489
96.0,99.3212624326502,99.2212624326502,99.4212624326502,-1.0,107.5309018089472,8.209639376297005
97.0,98.61476348217107,98.51476348217108,98.71476348217107,-1.0,107.5309018089472,8.916138326776135
98.0,98.3760810342888,98.27608103428881,98.4760810342888,0.0,9.254820774658398,9.254820774658398
99.0,98.40511161906609,98.3051116190661,98.50511161906608,0.0,9.254820774658398,9.254820774658398
100.0,98.17288580764152,98.07288580764153,98.27288580764152,-1.0,107.52770658229991,9.354820774658393
